title,thumb,link,image_link,
"Applying Color Theory to Digital Media and Visualization, by Theresa-Marie Rhyne",#NAME?,https://www.amazon.com/gp/product/1498765491/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1498765491&linkCode=as2&linkId=5929fb63010433ca703da50bd2f07fa9,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=1498765491&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"Beautiful Visualization: Looking at Data through the Eyes of Experts, by Julie Steele & Noah Iliinsky",#NAME?,http://www.amazon.com/gp/product/1449379869/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=1449379869,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=1449379869&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"The Best American Infographics 2013, by Gareth Cook",#NAME?,http://www.amazon.com/gp/product/0547973373/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0547973373&linkCode=as2&linkId=IDAQ4354FVDDANF7,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=0547973373&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1,
"The Best American Infographics 2014, by Gareth Cook",#NAME?,http://www.amazon.com/gp/product/0547974515/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0547974515&linkCode=as2&linkId=GYLIQGCJHVQBIKK7,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=0547974515&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1,
"The Best American Infographics 2015, by Gareth Cook",#NAME?,https://www.amazon.com/gp/product/0544542703/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0544542703&linkCode=as2&linkId=de77d07ce16fa9b60022d25562c75387,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=0544542703&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"The Best American Infographics 2016, by Gareth Cook",#NAME?,https://www.amazon.com/gp/product/0544556380/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0544556380&linkCode=as2&linkId=248a6358bb55123bf42f420890ac0505,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=0544556380&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios, by Steve Wexler, Jeffrey Shaffer, and Andy Cotgreave",#NAME?,https://www.amazon.com/gp/product/1119282713/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1119282713&linkCode=as2&linkId=3c0cb2431445e8c7629d9ceb03e895fd,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=1119282713&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"The Book of Circles: Visualizing Spheres of Knowledge, by Manuel Lima",#NAME?,https://www.amazon.com/gp/product/1616895284/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1616895284&linkCode=as2&linkId=f4b478d3341c9078d01b2e6cd95b6377,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=1616895284&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"The Book of R: A First Course in Programming and Statistics, by Tilman M. Davies",#NAME?,https://www.amazon.com/gp/product/1593276516/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1593276516&linkCode=as2&linkId=7ded75700c49289eccfd6fb5e831f289,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=1593276516&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"The Book of Trees, by Manuel Lima",#NAME?,http://www.amazon.com/gp/product/1616892188/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1616892188&linkCode=as2&linkId=BMVG6UEMF4XSFON4,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=1616892188&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1,
