sub_type,type,author,subtitle
Pie chart,charts,null,null
Venn diagram,charts,null,null
Onion diagram,charts,null,null
Circular chart,charts,null,null
Bubble chart,charts,null,null
Bubble race chart,charts,null,null
Line chart,charts,null,null
Area chart,charts,null,null
Scatter plot,charts,null,null
Sunburst chart,charts,null,null
Fan chart,charts,null,null
Windrose chart,charts,null,null
Bar chart,charts,null,null
Tape diagram,charts,null,null
Gantt chart,charts,null,null
Tree map,charts,null,null
Arc diagram,charts,null,null
Sankey chart,charts,null,null
Chord chart,charts,null,null
Radar chart,charts,null,null
Polar grid,charts,null,null
Timeline,charts,null,null
Mind map,charts,null,null
Decision tree,charts,null,null
Block scheme,charts,null,null
Pyramid diagram,charts,null,null
Adobe Illustrator,tools,null,null
TABLEAU,tools,null,null
D3js,tools,null,null
Google Charts,tools,null,null
AnyCharts,tools,null,null
HightCharts,tools,null,null
Infogram,tools,null,null
Google Spreadsheets,tools,null,null
Apple Numbers,tools,null,null
Plotly,tools,null,null
Powerpoint,tools,null,null
R language,tools,null,null
Circos,tools,null,null
Creately,tools,null,null
Lucidchart,tools,null,null
Understanding the World,books,Taschen,The Atlas of Infographics
The Visual Display of Quantitative Information,books,Edward R Tufte,null
Understanding Comics,books,Scott Mccloud,The Invisible Art
Cool Infographics,books,Randy Krum,Effective Communication with Data Visualization and Design
The Book of Trees,books,Manuel Lima,null
The Functional Art,books,Alberto Cairo,null
Information is Beautiful,books,David McCandless,null
Information Graphics,books,Taschen,null
Envisioning Information,books,Edward R Tufte,null
Design for Information,books,Isabel Meireles,null
Data Visualizations,books,Andy Kirk,A Successful Design Process
Designing News,books,Francesco Franchi,Changing the World of Editorial Design and Information Graphics
Semiology of Graphics,books,Jacques Bertin,Diagrams Networks Maps
Tableau Your Data,books,Dan Murray,Fast and Easy Visual Analysis with Tableau Software
The Back of the Napkin,books,Dan Roam,Solving Problems and Selling Ideas with Pictures
R in a Nutshell,books,Joseph Adler,A Desktop Quick Reference
Storytelling with Data,books,Cole Nussbaumer Knaflic,A Data Visualization Guide for Business Professionals
