name,thumb,link,description,img_link,,,,,,,,,,,,,,,,
0 TO 255,#NAME?,http://0to255.com/,"0to255 is a simple tool that helps web designers find variations of any color. Perfect for hovers, borders, gradients, and more.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/0to255-290x174.png,,,,,,,,,,,,,,,,
ABBYY,#NAME?,http://www.abbyy.com.au/pdf-transformer/,"PDF Transformer+ offers everything you need for your daily work with PDF files. Whether you wish to edit or comment, add password protection, share PDFs with colleagues, create, convert, or simply read PDFs, PDF Transformer lets you handle it all with ease. This versatile PDF software combines an intuitive interface and collaboration tools with ABBYY’s Optical Character Recognition (OCR) technology and Adobe® PDF Library technology ensuring that you can easily work with any type of PDF.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/abbyy-290x171.png,,,,,,,,,,,,,,,,
ABLE2EXTRACT,#NAME?,http://www.investintech.com/able2extract.html,"Need image (scanned) PDF conversion to Excel, Word, and PowerPoint? Able2Extract Professional combines leading edge technology with our proprietary PDF conversion algorithm to deliver high quality conversions every time. This is great for people working with paper documents and wanting to access them electronically.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Able2Extract-290x174.png,,,,,,,,,,,,,,,,
ADOBE AFTER EFFECTS,#NAME?,http://www.adobe.com/products/aftereffects/,"Adobe After Effects is an immensely powerful software package which takes further the capability to create amazing motion graphics and broadcast quality visual effects. Often referred to as the ‘Photoshop for video’, After Effects operates primarily with images or video content, offering the opportunity to apply and layer sound, graphics, special effects and motion. A simple way to understand the key difference between Flash and After Effects lies with the focus on Flash being web-based interactivity and After Effects being video rendered graphic effects. From a visualisation perspective the most important application of After Effects is through the power of storytelling, many of the infographic explanatory videos you will see are built using AE.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/AfterEffects-290x174.png,,,,,,,,,,,,,,,,
ADOBE ANIMATE,#NAME?,http://blogs.adobe.com/animate/,"For nearly two decades, Adobe Flash Professional has been the standard for producing rich animations on the web. Because of the emergence of HTML5 and demand for animations that leverage web standards, we completely rewrote the tool over the past few years to incorporate native HTML5 Canvas and WebGL support. To more accurately represent its position as the premier animation tool for the web and beyond, Flash Professional will be renamed Adobe Animate CC, from early 2016.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/AdobeAnimate-290x174.jpg,,,,,,,,,,,,,,,,
ADOBE COLOR,#NAME?,https://color.adobe.com/,"Adobe Color, formerly known as Adobe Kuler, is an internet application from Adobe Systems that lets individuals try out, create and save various colour schemes, each of which consists of a set of five colours.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/AdobeColor-290x167.png,,,,,,,,,,,,,,,,
ADOBE EDGE,#NAME?,http://html.adobe.com/edge/animate/,"In response to the mentioned restrictions involving developing projects using Flash, Adobe has responded with its own range of tools for creating next-generation HTML5 projects and designed to ""set the benchmark for standards-based web creation"". Of these, Edge Animate is the most interesting offering, designed to ""create animated, interactive content for the modern web"", providing an alternative for projects that previously required Flash.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/AdobeEdge-290x174.png,,,,,,,,,,,,,,,,
ADOBE ILLUSTRATOR,#NAME?,http://www.adobe.com/products/illustrator/,"Like much of the Creative Suite software, Adobe Illustrator is the industry standard application for creating incredible electronic illustrations. Whilst most of us think of creating graphs using statistical software, like many of those listed above, its huge depth of features and capabilities make it the ideal accompaniment tool to take the graphic composition to the next level. Illustrator gives you the complete control you require to polish existing graphs, creating new ones or combine separate elements into an inspiring, customised and hand-crafted infographic design.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/AdobeIllustrator-290x174.png,,,,,,,,,,,,,,,,
AESOP STORY ENGINE,#NAME?,http://aesopstoryengine.com/,"Write stories instead of code! Aesop Story Engine is a collection of thirteen unique components wrapped in a plugin that can be used to tell rich, interactive stories in any WordPress theme.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Aesop-290x174.png,,,,,,,,,,,,,,,,
AFFINITY DESIGNER,#NAME?,https://affinity.serif.com/en-gb/,"Affinity Designer for the Mac is the fastest, smoothest, most precise vector graphic design software available. Whether you’re working on graphics for marketing materials, websites, icons, UI design or just like creating cool concept art, Affinity Designer will revolutionise how you work.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/Affinity-290x174.png,,,,,,,,,,,,,,,,
